Wall time,Step,Value
1557504790.3750966,1245,213981856.0
1557504793.698727,1247,275551104.0
1557504797.0215213,1249,391469056.0
1557504799.231841,1250,326127296.0
1557504802.5393817,1252,311134912.0
1557504805.86301,1254,179349872.0
1557504809.2395384,1256,245919584.0
1557504812.565242,1258,316250816.0
1557504815.9075918,1260,368500736.0
1557504819.237159,1262,378937344.0
1557504822.5582159,1264,331370912.0
1557504825.8825467,1266,241782032.0
1557504829.235878,1268,815261504.0
1557504832.5483763,1270,750177728.0
1557504835.89047,1272,369036096.0
1557504839.234213,1274,338758112.0
1557504842.5210817,1276,659135104.0
1557504845.8520133,1278,485861632.0
1557504849.1704464,1280,159798192.0
1557504852.4983754,1282,271314560.0
1557504855.7979305,1284,448269472.0
1557504859.1353595,1286,281374400.0
1557504862.470739,1288,181547664.0
1557504865.8043559,1290,327673184.0
1557504869.1520102,1292,465416896.0
1557504872.49595,1294,161669280.0
1557504875.8381417,1296,246783104.0
1557504879.183188,1298,231765728.0
1557504882.5191233,1300,231358544.0
1557504885.8345504,1302,276069504.0
1557504889.178984,1304,372271520.0
1557504892.5583398,1306,273210336.0
1557504895.9192042,1308,228454688.0
1557504899.2518861,1310,160574512.0
1557504902.6102254,1312,203499744.0
1557504905.9681234,1314,191370432.0
1557504909.3133266,1316,195012880.0
1557504912.6369724,1318,189918416.0
1557504915.9658678,1320,236127680.0
1557504919.315825,1322,173022368.0
1557504922.6676357,1324,110897848.0
1557504926.0061545,1326,276087424.0
1557504929.3544285,1328,228022992.0
1557504932.7174656,1330,169074416.0
1557504936.0392609,1332,231377504.0
1557504939.3778737,1334,343312032.0
1557504942.7186375,1336,235142784.0
1557504946.046893,1338,162579680.0
1557504949.3720543,1340,237438848.0
1557504952.699458,1342,441948992.0
1557504956.0502484,1344,369194976.0
1557504959.3714929,1346,237260016.0
1557504962.7156868,1348,338960992.0
1557504966.041233,1350,412614624.0
1557504969.356091,1352,208843120.0
1557504972.6653407,1354,113939008.0
1557504975.9930952,1356,305346016.0
1557504979.3115482,1358,303667168.0
1557504982.644911,1360,347799072.0
1557504985.956515,1362,374442272.0
1557504989.25798,1364,250324992.0
1557504992.5812285,1366,190723888.0
1557504995.901452,1368,103328192.0
1557504999.310332,1370,181481664.0
1557505002.627153,1372,386818528.0
1557505005.9480956,1374,464151296.0
1557505008.1514735,1375,195269472.0
1557505011.4611683,1377,332328224.0
1557505014.7673867,1379,247660128.0
1557505018.0793095,1381,149686768.0
1557505021.3876228,1383,161567136.0
1557505024.7341664,1385,159632480.0
1557505028.0657206,1387,216237184.0
1557505031.4050558,1389,285248608.0
1557505034.7477484,1391,348053664.0
1557505038.0938838,1393,440240896.0
1557505041.435061,1395,301908000.0
1557505044.7605283,1397,238056288.0
1557505048.0993683,1399,366933728.0
1557505051.4080672,1401,603726144.0
1557505054.7439628,1403,288799360.0
1557505058.0631492,1405,232491872.0
1557505061.3757122,1407,590522624.0
1557505064.6867752,1409,531944448.0
1557505068.011068,1411,174974832.0
1557505071.3211107,1413,472171840.0
1557505074.6420805,1415,747808832.0
1557505077.946402,1417,421376608.0
1557505081.2723942,1419,265855216.0
1557505084.6208377,1421,834848512.0
1557505087.9608457,1423,428431200.0
1557505091.2772129,1425,286140480.0
1557505094.6040292,1427,1078082944.0
1557505097.9424505,1429,447058496.0
1557505101.268943,1431,447690368.0
1557505104.6106508,1433,1088682112.0
1557505107.9565258,1435,176660928.0
1557505111.2844186,1437,1141720576.0
1557505114.6232474,1439,648531584.0
1557505117.9399085,1441,350914880.0
1557505121.273955,1443,882845056.0
1557505124.6229737,1445,352652704.0
1557505127.9585683,1447,215185632.0
1557505131.289926,1449,311656736.0
1557505134.596852,1451,169013856.0
1557505137.939322,1453,227494352.0
1557505141.3042874,1455,206928320.0
1557505144.6323566,1457,168689088.0
1557505147.962907,1459,205158480.0
1557505151.3070307,1461,257190256.0
1557505154.6628466,1463,356643424.0
1557505157.9659243,1465,290994208.0
1557505161.3111868,1467,222090160.0
1557505164.611378,1469,524872288.0
1557505167.9113073,1471,640837184.0
1557505171.2444832,1473,302524224.0
1557505174.560242,1475,308792160.0
1557505177.8795507,1477,650600064.0
1557505181.2036793,1479,380011136.0
1557505184.522791,1481,242785440.0
1557505187.8383503,1483,617450304.0
1557505191.178305,1485,845315136.0
1557505194.491738,1487,271420288.0
1557505197.8293474,1489,189999808.0
1557505201.1745148,1491,277738592.0
1557505204.5195982,1493,256298272.0
1557505207.8597672,1495,245307600.0
1557505211.2048192,1497,209734672.0
1557505214.5319042,1499,213467088.0
1557505216.7252493,1500,147227952.0
1557505220.0455978,1502,200840192.0
1557505223.3855584,1504,164932032.0
1557505226.72006,1506,173272624.0
1557505230.0551958,1508,234968016.0
1557505233.3852744,1510,143417808.0
1557505236.7094672,1512,209493776.0
1557505240.0372765,1514,167373120.0
1557505243.3532429,1516,124934408.0
1557505246.670631,1518,156619504.0
1557505249.9827957,1520,205600320.0
